# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
# Updated with get_gc_content.py, 2023-10-11 12:06:09
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating,gc
CETARTIODACTYLA,Balaenopteridae,Balaenoptera bonaerensis,Antarctic minke whale,Balaenoptera_bonaerensis,2. Existing assembly,GCA_000978805.1,DD,N,40.5
CETARTIODACTYLA,Bovidae,Ammotragus lervia,Aoudad,Ammotragus_lervia,2. Existing assembly,GCA_002201775.1,VU,N,42.0
CETARTIODACTYLA,Bovidae,Beatragus hunteri,Hirola,Beatragus_hunteri,1. Zoonomia,GCA_004027495.1,CR,N,42.0
CETARTIODACTYLA,Bovidae,Bison bison,American bison,Bison_bison,2. Existing assembly,GCF_000754665.1,NT,N,41.5
CETARTIODACTYLA,Bovidae,Bos indicus,Zebu cattle,Bos_indicus,2. Existing assembly,GCA_000247795.2,LC,N,41.5
CETARTIODACTYLA,Bovidae,Bos mutus,Wild yak,Bos_mutus,2. Existing assembly,GCF_000298355.1,VU,N,41.5
CETARTIODACTYLA,Bovidae,Bos taurus,Cattle,Bos_taurus,2. Existing assembly,GCF_000003205.7,LC,N,NA
CETARTIODACTYLA,Bovidae,Bubalus bubalis,Water buffalo,Bubalus_bubalis,2. Existing assembly,GCF_000471725.1,LC,N,NA
CETARTIODACTYLA,Bovidae,Capra aegagrus,Wild goat,Capra_aegagrus,2. Existing assembly,GCA_000978405.1,VU,N,41.5
CETARTIODACTYLA,Bovidae,Capra hircus,Goat,Capra_hircus,2. Existing assembly,GCF_001704415.1,LC,N,43.0
CETARTIODACTYLA,Bovidae,Hemitragus hylocrius,Nilgiri tahr,Hemitragus_hylocrius,1. Zoonomia,GCA_004026825.1,EN,N,42.0
CETARTIODACTYLA,Bovidae,Ovis aries,Sheep,Ovis_aries,2. Existing assembly,GCF_000298735.2,LC,N,NA
CETARTIODACTYLA,Bovidae,Ovis canadensis cremnobates,Peninsular bighorn sheep,Ovis_canadensis_cremnobates,1. Zoonomia,GCA_004026945.1,EN,N,43.0
CETARTIODACTYLA,Bovidae,Pantholops hodgsonii,Chiru,Pantholops_hodgsonii,2. Existing assembly,GCF_000400835.1,NT,N,NA
CETARTIODACTYLA,Bovidae,Saiga tatarica tatarica,Russian saiga,Saiga_tatarica_tatarica,1. Zoonomia,GCA_004024985.1,CR,N,42.5
CETARTIODACTYLA,Camelidae,Camelus bactrianus,Bactrian camel,Camelus_bactrianus,2. Existing assembly,GCF_000767855.1,LC,N,41.0
CETARTIODACTYLA,Camelidae,Camelus dromedarius,Arabian camel,Camelus_dromedarius,2. Existing assembly,GCF_000767585.1,LC,N,NA
CETARTIODACTYLA,Camelidae,Camelus ferus,Wild bactrian camel,Camelus_ferus,2. Existing assembly,GCF_000311805.1,CR,N,NA
CETARTIODACTYLA,Camelidae,Vicugna pacos,Alpaca,Vicugna_pacos,2. Existing assembly,GCA_000767525.1,LC,N,41.0
CETARTIODACTYLA,Cervidae,Elaphurus davidianus,Pere david's deer,Elaphurus_davidianus,2. Existing assembly,GCA_002443075.1,CR,N,41.5
CETARTIODACTYLA,Cervidae,Odocoileus virginianus,White-tailed deer,Odocoileus_virginianus,2. Existing assembly,GCA_002102435.1,LC,N,41.5
CETARTIODACTYLA,Cervidae,Rangifer tarandus,Siberian reindeer,Rangifer_tarandus,1. Zoonomia,GCA_004026565.1,VU,N,42.0
CETARTIODACTYLA,Delphinidae,Orcinus orca,Killer whale,Orcinus_orca,2. Existing assembly,GCF_000331955.2,DD,Y,41.0
CETARTIODACTYLA,Delphinidae,Tursiops truncatus,Bottlenose dolphin,Tursiops_truncatus,2. Existing assembly,GCA_001922835.1,LC,Y,40.5
CETARTIODACTYLA,Eschrichtiidae,Eschrichtius robustus,Grey whale,Eschrichtius_robustus,1. Zoonomia,GCA_004363415.1,LC,?,41.0
CETARTIODACTYLA,Giraffidae,Giraffa tippelskirchi,Giraffe,Giraffa_tippelskirchi,2. Existing assembly,GCA_001651235.1,VU,N,41.0
CETARTIODACTYLA,Giraffidae,Okapia johnstoni,Okapi,Okapia_johnstoni,2. Existing assembly,GCA_001660835.1,EN,N,41.0
CETARTIODACTYLA,Hippopotamidae,Hippopotamus amphibius,Hippopotamus,Hippopotamus_amphibius,1. Zoonomia,GCA_004027065.1,VU,N,41.0
CETARTIODACTYLA,Iniidae,Inia geoffrensis,Amazon river dolphin,Inia_geoffrensis,1. Zoonomia,GCA_004363515.1,DD,Y,42.0
CETARTIODACTYLA,Iniidae,Lipotes vexillifer,Yangtze river dolphin,Lipotes_vexillifer,2. Existing assembly,GCF_000442215.1,CR,Y,41.0
CETARTIODACTYLA,Monodontidae,Delphinapterus leucas,Beluga whale,Delphinapterus_leucas,2. Existing assembly,GCF_002288925.1,LC,Y,41.0
CETARTIODACTYLA,Monodontidae,Monodon monoceros,Narwhal,Monodon_monoceros,1. Zoonomia,GCA_004026685.1,LC,Y,41.0
CETARTIODACTYLA,Moschidae,Moschus moschiferus,Siberian musk deer,Moschus_moschiferus,1. Zoonomia,GCA_004024705.1,VU,N,42.0
CETARTIODACTYLA,Phocoenidae,Neophocaena asiaeorientalis,Yangtze finless porpoise,Neophocaena_asiaeorientalis,2. Existing assembly,GCA_003031525.1,EN,N,41.0
CETARTIODACTYLA,Phocoenidae,Phocoena phocoena,Harbor porpoise,Phocoena_phocoena,1. Zoonomia,GCA_004363495.1,LC,N,41.5
CETARTIODACTYLA,Physeteridae,Kogia breviceps,Pygmy sperm whale,Kogia_breviceps,1. Zoonomia,GCA_004363705.1,DD,Y,41.5
CETARTIODACTYLA,Platanistidae,Platanista gangetica minor,Indus river dolphin,Platanista_gangetica_minor,1. Zoonomia,GCA_004363435.1,EN,Y,41.5
CETARTIODACTYLA,Suidae,Sus scrofa,Pig,Sus_scrofa,2. Existing assembly,GCF_000003025.5,LC,N,41.5
CETARTIODACTYLA,Tayassuidae,Catagonus wagneri,Chacoan peccary,Catagonus_wagneri,1. Zoonomia,GCA_004024745.1,EN,N,42.0
CETARTIODACTYLA,Tragulidae,Tragulus javanicus,Java lesser chevrotain,Tragulus_javanicus,1. Zoonomia,GCA_004024965.1,DD,N,42.5
CETARTIODACTYLA,Ziphiidae,Mesoplodon bidens,Sowerby�s beaked whale,Mesoplodon_bidens,1. Zoonomia,GCA_004027085.1,DD,Y,41.5
CETARTIODACTYLA,Ziphiidae,Ziphius cavirostris,Cuvier's beaked whale,Ziphius_cavirostris,1. Zoonomia,GCA_004364475.1,LC,Y,42.0
CHIROPTERA,Craseonycteridae,Craseonycteris thonglongyai,Bumblebee bat,Craseonycteris_thonglongyai,1. Zoonomia,GCA_004027555.1,VU,Y,40.5
CHIROPTERA,Hipposideridae,Hipposideros armiger,Great roundleaf bat,Hipposideros_armiger,2. Existing assembly,GCA_001890085.1,LC,Y,41.0
CHIROPTERA,Hipposideridae,Hipposideros galeritus,Cantor's leaf-nosed bat,Hipposideros_galeritus,1. Zoonomia,GCA_004027415.1,LC,Y,41.0
CHIROPTERA,Megadermatidae,Megaderma lyra,Greater false vampire bat,Megaderma_lyra,1. Zoonomia,GCA_004026885.1,LC,Y,40.5
CHIROPTERA,Molossidae,Tadarida brasiliensis,Mexican free-tailed bat,Tadarida_brasiliensis,1. Zoonomia,GCA_004025005.1,LC,Y,42.0
CHIROPTERA,Mormoopidae,Mormoops blainvillei,Ghost-faced bat,Mormoops_blainvillei,1. Zoonomia,GCA_004026545.1,LC,Y,41.5
CHIROPTERA,Mormoopidae,Pteronotus parnellii,Parnell's mustached bat,Pteronotus_parnellii,2. Existing assembly,GCA_000465405.1,LC,Y,40.5
CHIROPTERA,Noctilionidae,Noctilio leporinus,Greater bulldog bat,Noctilio_leporinus,1. Zoonomia,GCA_004026585.1,LC,Y,40.5
CHIROPTERA,Phyllostomidae,Anoura caudifer,Tailed tailless bat,Anoura_caudifer,1. Zoonomia,GCA_004027475.1,LC,Y,41.5
CHIROPTERA,Phyllostomidae,Artibeus jamaicensis,Jamacian fruit-eating bat,Artibeus_jamaicensis,1. Zoonomia,GCA_004027435.1,LC,Y,42.0
CHIROPTERA,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,Carollia_perspicillata,1. Zoonomia,GCA_004027735.1,LC,Y,42.5
CHIROPTERA,Phyllostomidae,Desmodus rotundus,Common vampire bat,Desmodus_rotundus,2. Existing assembly,GCA_002940915.2,LC,Y,42.0
CHIROPTERA,Phyllostomidae,Micronycteris hirsuta,Hairy big-eared bat,Micronycteris_hirsuta,1. Zoonomia,GCA_004026765.1,LC,Y,42.0
CHIROPTERA,Phyllostomidae,Tonatia saurophila,Stripe-headed round-eared bat,Tonatia_saurophila,1. Zoonomia,GCA_004024845.1,LC,Y,42.0
CHIROPTERA,Pteropodidae,Eidolon helvum,Straw-colored fruit bat,Eidolon_helvum,2. Existing assembly,GCA_000465285.1,NT,N,39.0
CHIROPTERA,Pteropodidae,Macroglossus sobrinus,Long-tongued fruit bat,Macroglossus_sobrinus,1. Zoonomia,GCA_004027375.1,LC,N,39.5
CHIROPTERA,Pteropodidae,Pteropus alecto,Black flying fox,Pteropus_alecto,2. Existing assembly,GCF_000325575.1,LC,N,39.5
CHIROPTERA,Pteropodidae,Pteropus vampyrus,Large flying fox,Pteropus_vampyrus,2. Existing assembly,GCF_000151845.1,NT,N,39.5
CHIROPTERA,Pteropodidae,Rousettus aegyptiacus,Egyptian fruit bat,Rousettus_aegyptiacus,1. Zoonomia,GCA_004024865.1,LC,N,40.0
CHIROPTERA,Rhinolophidae,Rhinolophus sinicus,Chinese rufous horseshoe bat,Rhinolophus_sinicus,2. Existing assembly,GCA_001888835.1,LC,Y,40.5
CHIROPTERA,Vespertilionidae,Eptesicus fuscus,Big brown bat,Eptesicus_fuscus,2. Existing assembly,GCF_000308155.1,LC,Y,42.5
CHIROPTERA,Vespertilionidae,Lasiurus borealis,Eastern red bat,Lasiurus_borealis,1. Zoonomia,GCA_004026805.1,LC,Y,42.5
CHIROPTERA,Vespertilionidae,Miniopterus natalensis,Bats,Miniopterus_natalensis,2. Existing assembly,GCF_001595765.1,LC,Y,42.0
CHIROPTERA,Vespertilionidae,Miniopterus schreibersii,Common bent-wing bat,Miniopterus_schreibersii,1. Zoonomia,GCA_004026525.1,NT,Y,42.0
CHIROPTERA,Vespertilionidae,Murina feae,Ashy-gray tube-nosed bat,Murina_feae,1. Zoonomia,GCA_004026665.1,LC,Y,43.5
CHIROPTERA,Vespertilionidae,Myotis brandtii,Brandt's bat,Myotis_brandtii,2. Existing assembly,GCF_000412655.1,LC,Y,42.5
CHIROPTERA,Vespertilionidae,Myotis davidii,Bats,Myotis_davidii,2. Existing assembly,GCF_000327345.1,LC,Y,42.5
CHIROPTERA,Vespertilionidae,Myotis lucifugus,Little brown bat,Myotis_lucifugus,2. Existing assembly,GCF_000147115.1,LC,Y,42.5
CHIROPTERA,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,Myotis_myotis,1. Zoonomia,GCA_004026985.1,LC,Y,43.0
CHIROPTERA,Vespertilionidae,Pipistrellus pipistrellus,Common pipistrelle,Pipistrellus_pipistrellus,1. Zoonomia,GCA_004026625.1,LC,Y,42.5
CINGULATA,Dasypodidae,Chaetophractus vellerosus,Screaming hairy armadillo,Chaetophractus_vellerosus,1. Zoonomia,GCA_004027955.1,LC,N,39.5
CINGULATA,Dasypodidae,Dasypus novemcinctus,Nine-banded armadillo,Dasypus_novemcinctus,2. Existing assembly,GCF_000208655.1,LC,N,40.5
CINGULATA,Dasypodidae,Tolypeutes matacus,Southern three-banded armadillo,Tolypeutes_matacus,1. Zoonomia,GCA_004025125.1,NT,N,39.0
DERMOPTERA,Cynocephalidae,Galeopterus variegatus,Sunda flying lemur,Galeopterus_variegatus,1. Zoonomia,GCA_004027255.1,LC,N,40.0
EULIPOTYPHLA,Erinaceidae,Erinaceus europaeus,Western european hedgehog,Erinaceus_europaeus,2. Existing assembly,GCF_000296755.1,LC,N,41.5
EULIPOTYPHLA,Solenodontidae,Solenodon paradoxus,Hispaniolan solenodon,Solenodon_paradoxus,1. Zoonomia,GCA_004363575.1,EN,N,39.5
EULIPOTYPHLA,Soricidae,Crocidura indochinensis,Indochinese shrew,Crocidura_indochinensis,1. Zoonomia,GCA_004027635.1,LC,N,39.5
EULIPOTYPHLA,Soricidae,Sorex araneus,European shrew,Sorex_araneus,2. Existing assembly,GCF_000181275.1,LC,N,42.5
EULIPOTYPHLA,Talpidae,Condylura cristata,Star-nosed mole,Condylura_cristata,2. Existing assembly,GCF_000260355.1,LC,N,41.5
EULIPOTYPHLA,Talpidae,Scalopus aquaticus,Eastern mole,Scalopus_aquaticus,1. Zoonomia,GCA_004024925.1,LC,N,42.0
EULIPOTYPHLA,Talpidae,Uropsilus gracilis,Gracile shrew-like mole,Uropsilus_gracilis,1. Zoonomia,GCA_004024945.1,LC,N,41.0
HYRACOIDEA,Procaviidae,Heterohyrax brucei,African yellow-spotted rock hyrax,Heterohyrax_brucei,1. Zoonomia,GCA_004026845.1,LC,N,40.5
HYRACOIDEA,Procaviidae,Procavia capensis,South African rock hyrax,Procavia_capensis,1. Zoonomia,GCA_004026925.1,LC,N,41.0
LAGOMORPHA,Leporidae,Lepus americanus,Snowshoe hare,Lepus_americanus,1. Zoonomia,GCA_004026855.1,LC,N,44.0
LAGOMORPHA,Leporidae,Oryctolagus cuniculus,Rabbit,Oryctolagus_cuniculus,2. Existing assembly,GCF_000003625.3,NT,N,43.5
LAGOMORPHA,Ochotonidae,Ochotona princeps,American pika,Ochotona_princeps,2. Existing assembly,GCF_000292845.1,LC,N,NA
MACROSCELIDEA,Macroscelididae,Elephantulus edwardii,Cape elephant shrew,Elephantulus_edwardii,1. Zoonomia,GCA_004027355.1,LC,N,40.5
PERISSODACTYLA,Equidae,Equus asinus,Ass,Equus_asinus,2. Existing assembly,GCF_001305755.1,LC,N,41.0
PERISSODACTYLA,Equidae,Equus caballus,Horse,Equus_caballus,2. Existing assembly,GCF_000002305.2,LC,N,41.5
PERISSODACTYLA,Equidae,Equus przewalskii,Przewalski's horse,Equus_przewalskii,2. Existing assembly,GCF_000696695.1,EN,N,41.0
PERISSODACTYLA,Rhinocerotidae,Ceratotherium simum,Southern white rhinoceros,Ceratotherium_simum,2. Existing assembly,GCF_000283155.1,NT,N,40.5
PERISSODACTYLA,Rhinocerotidae,Ceratotherium simum cottoni,Northern white rhino,Ceratotherium_simum_cottoni,1. Zoonomia,GCA_004027795.1,CR,N,41.0
PERISSODACTYLA,Rhinocerotidae,Dicerorhinus sumatrensis,Sumatran rhinoceros,Dicerorhinus_sumatrensis,2. Existing assembly,GCA_002844835.1,CR,N,41.0
PERISSODACTYLA,Rhinocerotidae,Diceros bicornis,Black rhinocerous,Diceros_bicornis,1. Zoonomia,GCA_004027315.1,CR,N,41.0
PERISSODACTYLA,Tapiridae,Tapirus indicus,Malayan tapir,Tapirus_indicus,1. Zoonomia,GCA_004024905.1,EN,N,40.5
PERISSODACTYLA,Tapiridae,Tapirus terrestris,South American tapir,Tapirus_terrestris,1. Zoonomia,GCA_004025025.1,VU,N,41.0
PHOLIDOTA,Manidae,Manis javanica,Malayan pangolin,Manis_javanica,2. Existing assembly,GCF_001685135.1,CR,N,NA
PHOLIDOTA,Manidae,Manis pentadactyla,Chinese pangolin,Manis_pentadactyla,2. Existing assembly,GCA_000738955.1,CR,N,40.5
PILOSA,Megalonychidae,Choloepus didactylus,Linnaeus's two toed sloth,Choloepus_didactylus,1. Zoonomia,GCA_004027855.1,LC,N,39.5
PILOSA,Megalonychidae,Choloepus hoffmanni,Hoffmann's two-fingered sloth,Choloepus_hoffmanni,2. Existing assembly,GCA_000164785.2,LC,N,39.5
PILOSA,Myrmecophagidae,Myrmecophaga tridactyla,Giant anteater,Myrmecophaga_tridactyla,1. Zoonomia,GCA_004026745.1,VU,N,39.5
PILOSA,Myrmecophagidae,Tamandua tetradactyla,Southern tamandua,Tamandua_tetradactyla,1. Zoonomia,GCA_004025105.1,LC,N,39.5
PRIMATES,Aotidae,Aotus nancymaae,Ma's night monkey,Aotus_nancymaae,2. Existing assembly,GCA_000952055.2,VU,N,40.5
PRIMATES,Atelidae,Alouatta palliata mexicana,Mexican howler monkey,Alouatta_palliata_mexicana,1. Zoonomia,GCA_004027835.1,CR,N,40.5
PRIMATES,Atelidae,Ateles geoffroyi,Geoffroy's spider monkey,Ateles_geoffroyi,1. Zoonomia,GCA_004024785.1,EN,N,40.5
PRIMATES,Cebidae,Callithrix jacchus,White-tufted-ear marmoset,Callithrix_jacchus,2. Existing assembly,GCA_002754865.1,LC,N,40.5
PRIMATES,Cebidae,Cebus albifrons,White-fronted capuchin,Cebus_albifrons,1. Zoonomia,GCA_004027755.1,LC,N,41.0
PRIMATES,Cebidae,Cebus capucinus,White-faced sapajou,Cebus_capucinus,2. Existing assembly,GCF_001604975.1,LC,N,40.5
PRIMATES,Cebidae,Saguinus imperator,Emperor tamarin,Saguinus_imperator,1. Zoonomia,GCA_004024885.1,LC,N,40.5
PRIMATES,Cebidae,Saimiri boliviensis,Bolivian squirrel monkey,Saimiri_boliviensis,2. Existing assembly,GCF_000235385.1,LC,N,NA
PRIMATES,Cercopithecidae,Cercocebus atys,Sooty mangabey,Cercocebus_atys,2. Existing assembly,GCF_000955945.1,NT,N,40.5
PRIMATES,Cercopithecidae,Cercopithecus neglectus,De brazza's monkey,Cercopithecus_neglectus,1. Zoonomia,GCA_004027615.1,LC,N,41.0
PRIMATES,Cercopithecidae,Chlorocebus sabaeus,Green monkey,Chlorocebus_sabaeus,2. Existing assembly,GCF_000409795.2,LC,N,NA
PRIMATES,Cercopithecidae,Colobus angolensis,Angolan colobus,Colobus_angolensis,2. Existing assembly,GCF_000951035.1,VU,N,40.5
PRIMATES,Cercopithecidae,Erythrocebus patas,Patas monkey,Erythrocebus_patas,1. Zoonomia,GCA_004027335.1,LC,N,41.0
PRIMATES,Cercopithecidae,Macaca fascicularis,Crab-eating macaque,Macaca_fascicularis,2. Existing assembly,GCF_000364345.1,DD,N,40.5
PRIMATES,Cercopithecidae,Macaca mulatta,Rhesus monkey,Macaca_mulatta,2. Existing assembly,GCF_000772875.2,LC,N,NA
PRIMATES,Cercopithecidae,Macaca nemestrina,Pig-tailed macaque,Macaca_nemestrina,2. Existing assembly,GCF_000956065.1,VU,N,40.5
PRIMATES,Cercopithecidae,Mandrillus leucophaeus,Drill,Mandrillus_leucophaeus,2. Existing assembly,GCF_000951045.1,EN,N,40.5
PRIMATES,Cercopithecidae,Nasalis larvatus,Proboscis monkey,Nasalis_larvatus,1. Zoonomia,GCA_004027105.1,EN,N,41.0
PRIMATES,Cercopithecidae,Papio anubis,Olive baboon,Papio_anubis,2. Existing assembly,GCA_000264685.2,LC,N,40.5
PRIMATES,Cercopithecidae,Piliocolobus tephrosceles,Ugandan red colobus,Piliocolobus_tephrosceles,2. Existing assembly,GCA_002776525.1,EN,N,40.5
PRIMATES,Cercopithecidae,Pygathrix nemaeus,Red-shanked douc,Pygathrix_nemaeus,1. Zoonomia,GCA_004024825.1,EN,N,41.0
PRIMATES,Cercopithecidae,Rhinopithecus bieti,Black snub-nosed monkey,Rhinopithecus_bieti,2. Existing assembly,GCF_001698545.1,EN,N,40.5
PRIMATES,Cercopithecidae,Rhinopithecus roxellana,Golden snub-nosed monkey,Rhinopithecus_roxellana,2. Existing assembly,GCF_000769185.1,EN,N,NA
PRIMATES,Cercopithecidae,Semnopithecus entellus,Northern Plains gray langur,Semnopithecus_entellus,1. Zoonomia,GCA_004025065.1,LC,N,41.0
PRIMATES,Cheirogaleidae,Cheirogaleus medius,Fat-tailed dwarf lemur,Cheirogaleus_medius,1. Zoonomia,GCA_004024725.1,LC,N,40.0
PRIMATES,Cheirogaleidae,Microcebus murinus,Gray mouse lemur,Microcebus_murinus,2. Existing assembly,GCA_000165445.3,LC,N,40.5
PRIMATES,Cheirogaleidae,Mirza coquereli,Coquerel's giant mouse lemur,Mirza_coquereli,1. Zoonomia,GCA_004024645.1,EN,N,40.5
PRIMATES,Daubentoniidae,Daubentonia madagascariensis,Aye-aye,Daubentonia_madagascariensis,1. Zoonomia,GCA_004027145.1,EN,N,39.5
PRIMATES,Galagidae,Otolemur garnettii,Small-eared galago,Otolemur_garnettii,2. Existing assembly,GCF_000181295.1,LC,N,41.0
PRIMATES,Hominidae,Gorilla gorilla,Western lowland gorilla,Gorilla_gorilla,2. Existing assembly,GCA_900006655.3,CR,N,40.5
PRIMATES,Hominidae,Homo sapiens,Human,Homo_sapiens,2. Existing assembly,GCA_000001405.27,LC,N,40.5
PRIMATES,Hominidae,Pan paniscus,Pygmy chimpanzee,Pan_paniscus,2. Existing assembly,GCF_000258655.2,EN,N,NA
PRIMATES,Hominidae,Pan troglodytes,Chimpanzee,Pan_troglodytes,2. Existing assembly,GCA_002880755.3,EN,N,40.5
PRIMATES,Hominidae,Pongo abelii,Sumatran orangutan,Pongo_abelii,2. Existing assembly,GCA_002880775.3,CR,N,40.5
PRIMATES,Hylobatidae,Nomascus leucogenys,Northern white-cheeked gibbon,Nomascus_leucogenys,2. Existing assembly,GCF_000146795.2,CR,N,NA
PRIMATES,Indridae,Indri indri,Indri,Indri_indri,1. Zoonomia,GCA_004363605.1,CR,N,41.0
PRIMATES,Indridae,Propithecus coquereli,Coquerel's sifaka,Propithecus_coquereli,2. Existing assembly,GCF_000956105.1,EN,N,41.0
PRIMATES,Lemuridae,Eulemur flavifrons,Sclater's lemur,Eulemur_flavifrons,2. Existing assembly,GCA_001262665.1,CR,N,40.5
PRIMATES,Lemuridae,Eulemur fulvus,Common brown lemur,Eulemur_fulvus,1. Zoonomia,GCA_004027275.1,NT,N,41.0
PRIMATES,Lemuridae,Lemur catta,Ring tailed lemur,Lemur_catta,1. Zoonomia,GCA_004024665.1,EN,N,41.0
PRIMATES,Lorisidae,Nycticebus coucang,Sunda slow loris,Nycticebus_coucang,1. Zoonomia,GCA_004027815.1,VU,N,40.5
PRIMATES,Pitheciidae,Callicebus donacophilus,White-eared titi,Callicebus_donacophilus,1. Zoonomia,GCA_004027715.1,LC,N,41.0
PRIMATES,Pitheciidae,Pithecia pithecia,White-faced saki,Pithecia_pithecia,1. Zoonomia,GCA_004026645.1,LC,N,40.5
