source	group	chrom	n_elements	bp_elements	n_atac_peaks	bp_atac_peaks	n_elements_overlapping	pct_elements_overlapping	bp_intersect	jaccard	pct_elements_bp_in_atac	pct_atac_bp_in_elements
num_seqs_cnee	autosomes	CM001012.3	13822	2185049	10164	3049199	3240	23.44	390298	0.0805743	17.86	12.8
num_seqs_cnee	xy	CM001013.3	18006	3478137	6288	1897958	2351	13.06	327755	0.0649233	9.42	17.27
num_seqs_cnee	xy	CM001014.3	1538	398317	0	0	0	0.0	0	0.0	0.0	
ns_ce	autosomes	CM000994.3	154725	9813491	23889	7166682	21469	13.88	1317053	0.0840862	13.42	18.38
ns_ce	autosomes	CM000995.3	163370	11739044	26635	7990502	23957	14.66	1718799	0.0954318	14.64	21.51
ns_ce	autosomes	CM000996.3	97868	7328137	18402	5520602	13716	14.01	961230	0.0808605	13.12	17.41
ns_ce	autosomes	CM000997.3	102715	8229441	22226	6667801	17652	17.19	1320484	0.0972606	16.05	19.8
ns_ce	autosomes	CM000998.3	149484	8743828	20489	6154480	20451	13.68	1178956	0.0859338	13.48	19.16
ns_ce	autosomes	CM000999.3	99591	7216727	18856	5656802	14492	14.55	1010208	0.0851539	14.0	17.86
ns_ce	autosomes	CM001000.3	127692	8396517	19908	5972399	19764	15.48	1249304	0.0952242	14.88	20.92
ns_ce	autosomes	CM001001.3	116392	7714117	17395	5218496	17031	14.63	1067822	0.0899992	13.84	20.46
ns_ce	autosomes	CM001002.3	104777	7457751	19025	5707500	15597	14.89	1068851	0.0883611	14.33	18.73
ns_ce	autosomes	CM001003.3	224299	8850139	18716	5614802	27675	12.34	1166972	0.0877557	13.19	20.78
ns_ce	autosomes	CM001004.3	104466	8613950	23570	7071000	19512	18.68	1536341	0.108586	17.84	21.73
ns_ce	autosomes	CM001005.3	81923	6098461	14801	4440297	11850	14.46	799939	0.0821392	13.12	18.02
ns_ce	autosomes	CM001006.3	94831	6085577	16622	4986606	14401	15.19	932204	0.0919335	15.32	18.69
ns_ce	autosomes	CM001007.3	72607	5657429	13525	4057493	10142	13.97	719768	0.0800173	12.72	17.74
ns_ce	autosomes	CM001008.3	87039	5488418	15166	4549795	14278	16.4	889920	0.0972772	16.21	19.56
ns_ce	autosomes	CM001009.3	65067	4682353	12972	3891600	9474	14.56	632806	0.079687	13.51	16.26
ns_ce	autosomes	CM001010.3	94021	5334274	14076	4222800	14358	15.27	801968	0.0916	15.03	18.99
ns_ce	autosomes	CM001011.3	80620	5288323	11862	3558599	11151	13.83	715289	0.0879638	13.53	20.1
ns_ce	autosomes	CM001012.3	42778	3458956	10164	3049199	7358	17.2	557611	0.0937076	16.12	18.29
ns_ce	xy	CM001013.3	48761	4390407	6288	1897958	3854	7.9	378143	0.0639812	8.61	19.92
ns_ce	xy	CM001014.3	14068	352368	0	0	0	0.0	0	0.0	0.0	
ns_cnee	autosomes	CM000994.3	41964	5977010	23889	7166682	8097	19.3	898393	0.0733664	15.03	12.54
ns_cnee	autosomes	CM000995.3	47119	7316380	26635	7990502	10128	21.49	1229623	0.0873482	16.81	15.39
ns_cnee	autosomes	CM000996.3	31216	4833084	18402	5520602	5737	18.38	676067	0.0698588	13.99	12.25
ns_cnee	autosomes	CM000997.3	33479	5327168	22226	6667801	7786	23.26	952431	0.0862511	17.88	14.28
ns_cnee	autosomes	CM000998.3	35089	4964254	20489	6154480	6973	19.87	778019	0.0752384	15.67	12.64
ns_cnee	autosomes	CM000999.3	31023	4659214	18856	5656802	6117	19.72	723059	0.0753739	15.52	12.78
ns_cnee	autosomes	CM001000.3	30788	4688698	19908	5972399	6875	22.33	796001	0.0806886	16.98	13.33
ns_cnee	autosomes	CM001001.3	31921	4801932	17395	5218496	6120	19.17	719566	0.0773655	14.98	13.79
ns_cnee	autosomes	CM001002.3	30344	4464827	19025	5707500	6391	21.06	739738	0.0784236	16.57	12.96
ns_cnee	autosomes	CM001003.3	34081	4320698	18716	5614802	6486	19.03	670943	0.0724204	15.53	11.95
ns_cnee	autosomes	CM001004.3	33545	5179742	23570	7071000	8903	26.54	1067577	0.0954629	20.61	15.1
ns_cnee	autosomes	CM001005.3	25966	4080611	14801	4440297	4784	18.42	560507	0.0704119	13.74	12.62
ns_cnee	autosomes	CM001006.3	25817	3945525	16622	4986606	5660	21.92	663250	0.0802104	16.81	13.3
ns_cnee	autosomes	CM001007.3	23802	3753990	13525	4057493	4346	18.26	514194	0.0704637	13.7	12.67
ns_cnee	autosomes	CM001008.3	22443	3158666	15166	4549795	5145	22.92	583937	0.0819615	18.49	12.83
ns_cnee	autosomes	CM001009.3	20216	3020724	12972	3891600	3838	18.98	446015	0.0689752	14.77	11.46
ns_cnee	autosomes	CM001010.3	20386	2818267	14076	4222800	4535	22.25	494319	0.075506	17.54	11.71
ns_cnee	autosomes	CM001011.3	22472	3411105	11862	3558599	4296	19.12	514566	0.0797142	15.09	14.46
ns_cnee	autosomes	CM001012.3	13463	2039148	10164	3049199	3177	23.6	371353	0.0787266	18.21	12.18
ns_cnee	xy	CM001013.3	18450	3119756	6288	1897958	2365	12.82	303336	0.0643427	9.72	15.98
ns_cnee	xy	CM001014.3	1573	238969	0	0	0	0.0	0	0.0	0.0	
num_seqs_no_overlap_ce	autosomes	CM000994.3	112449	9580337	23889	7166682	17771	15.8	1292234	0.0836138	13.49	18.03
num_seqs_no_overlap_ce	autosomes	CM000995.3	112998	11589226	26635	7990502	19376	17.15	1696774	0.0948822	14.64	21.23
num_seqs_no_overlap_ce	autosomes	CM000996.3	67087	7238831	18402	5520602	10782	16.07	943805	0.0798777	13.04	17.1
num_seqs_no_overlap_ce	autosomes	CM000997.3	69995	8234295	22226	6667801	13800	19.72	1316714	0.0969214	15.99	19.75
num_seqs_no_overlap_ce	autosomes	CM000998.3	113282	8603980	20489	6154480	16957	14.97	1148594	0.0843942	13.35	18.66
num_seqs_no_overlap_ce	autosomes	CM000999.3	69940	7122720	18856	5656802	11595	16.58	999556	0.0848522	14.03	17.67
num_seqs_no_overlap_ce	autosomes	CM001000.3	94513	8378211	19908	5972399	15878	16.8	1216060	0.0925848	14.51	20.36
num_seqs_no_overlap_ce	autosomes	CM001001.3	84370	7578949	17395	5218496	13629	16.15	1048327	0.089226	13.83	20.09
num_seqs_no_overlap_ce	autosomes	CM001002.3	73617	7357282	19025	5707500	12434	16.89	1053734	0.0877304	14.32	18.46
num_seqs_no_overlap_ce	autosomes	CM001003.3	196817	8574801	18716	5614802	25508	12.96	1124621	0.086079	13.12	20.03
num_seqs_no_overlap_ce	autosomes	CM001004.3	72203	8504011	23570	7071000	15488	21.45	1525144	0.108552	17.93	21.57
num_seqs_no_overlap_ce	autosomes	CM001005.3	58434	6033688	14801	4440297	9664	16.54	790604	0.0816455	13.1	17.81
num_seqs_no_overlap_ce	autosomes	CM001006.3	67386	5931991	16622	4986606	11625	17.25	919342	0.0919411	15.5	18.44
num_seqs_no_overlap_ce	autosomes	CM001007.3	50398	5626948	13525	4057493	8093	16.06	711845	0.0793355	12.65	17.54
num_seqs_no_overlap_ce	autosomes	CM001008.3	64424	5390471	15166	4549795	11802	18.32	873305	0.0963173	16.2	19.19
num_seqs_no_overlap_ce	autosomes	CM001009.3	45494	4602670	12972	3891600	7570	16.64	620924	0.0788641	13.49	15.96
num_seqs_no_overlap_ce	autosomes	CM001010.3	71222	5225770	14076	4222800	12017	16.87	782854	0.0903392	14.98	18.54
num_seqs_no_overlap_ce	autosomes	CM001011.3	60259	5195144	11862	3558599	9377	15.56	704603	0.0875377	13.56	19.8
num_seqs_no_overlap_ce	autosomes	CM001012.3	29699	3407171	10164	3049199	5733	19.3	548990	0.0929329	16.11	18.0
num_seqs_no_overlap_ce	xy	CM001013.3	27190	4481648	6288	1897958	3001	11.04	386229	0.0644426	8.62	20.35
num_seqs_no_overlap_ce	xy	CM001014.3	13090	534753	0	0	0	0.0	0	0.0	0.0	
num_seqs_no_overlap_cnee	autosomes	CM000994.3	41790	6023778	23889	7166682	7920	18.95	865278	0.0702041	14.36	12.07
num_seqs_no_overlap_cnee	autosomes	CM000995.3	46310	7318412	26635	7990502	9712	20.97	1168436	0.0826306	15.97	14.62
num_seqs_no_overlap_cnee	autosomes	CM000996.3	30420	4930195	18402	5520602	5469	17.98	647376	0.0660357	13.13	11.73
num_seqs_no_overlap_cnee	autosomes	CM000997.3	32753	5461595	22226	6667801	7426	22.67	930189	0.0830585	17.03	13.95
num_seqs_no_overlap_cnee	autosomes	CM000998.3	34735	4920430	20489	6154480	6666	19.19	721634	0.069701	14.67	11.73
num_seqs_no_overlap_cnee	autosomes	CM000999.3	30637	4754391	18856	5656802	5940	19.39	704404	0.0725682	14.82	12.45
num_seqs_no_overlap_cnee	autosomes	CM001000.3	30528	4675568	19908	5972399	6501	21.3	736281	0.0742841	15.75	12.33
num_seqs_no_overlap_cnee	autosomes	CM001001.3	31901	4856893	17395	5218496	5966	18.7	686708	0.0731421	14.14	13.16
num_seqs_no_overlap_cnee	autosomes	CM001002.3	30211	4526281	19025	5707500	6119	20.25	705644	0.074059	15.59	12.36
num_seqs_no_overlap_cnee	autosomes	CM001003.3	32609	3911906	18716	5614802	6103	18.72	589675	0.0659811	15.07	10.5
num_seqs_no_overlap_cnee	autosomes	CM001004.3	32173	5117063	23570	7071000	8273	25.71	1001867	0.0895628	19.58	14.17
num_seqs_no_overlap_cnee	autosomes	CM001005.3	25899	4176039	14801	4440297	4707	18.17	546045	0.0676611	13.08	12.3
num_seqs_no_overlap_cnee	autosomes	CM001006.3	25612	3938312	16622	4986606	5598	21.86	649869	0.0785336	16.5	13.03
num_seqs_no_overlap_cnee	autosomes	CM001007.3	23489	3850951	13525	4057493	4181	17.8	498672	0.0672992	12.95	12.29
num_seqs_no_overlap_cnee	autosomes	CM001008.3	22320	3123978	15166	4549795	4933	22.1	545731	0.0765611	17.47	11.99
num_seqs_no_overlap_cnee	autosomes	CM001009.3	19813	3076477	12972	3891600	3702	18.68	434956	0.0665771	14.14	11.18
num_seqs_no_overlap_cnee	autosomes	CM001010.3	20089	2733974	14076	4222800	4329	21.55	453568	0.0697453	16.59	10.74
num_seqs_no_overlap_cnee	autosomes	CM001011.3	22343	3409054	11862	3558599	4228	18.92	494520	0.0763958	14.51	13.9
num_seqs_no_overlap_cnee	autosomes	CM001012.3	12819	2018057	10164	3049199	2910	22.7	342329	0.0724517	16.96	11.23
num_seqs_no_overlap_cnee	xy	CM001013.3	16871	3263656	6288	1897958	2127	12.61	292378	0.060046	8.96	15.4
num_seqs_no_overlap_cnee	xy	CM001014.3	1502	393557	0	0	0	0.0	0	0.0	0.0	
ucsc_ce	autosomes	CM000994.3	341948	10392881	23889	7166682	37063	10.84	998121	0.0602678	9.6	13.93
ucsc_ce	autosomes	CM000995.3	393489	12137389	26635	7990502	44976	11.43	1274860	0.067621	10.5	15.95
ucsc_ce	autosomes	CM000996.3	286245	9132536	18402	5520602	29577	10.33	829043	0.0599709	9.08	15.02
ucsc_ce	autosomes	CM000997.3	303274	9777514	22226	6667801	38167	12.58	1103587	0.0719337	11.29	16.55
ucsc_ce	autosomes	CM000998.3	266895	7900209	20489	6154480	29634	11.1	782917	0.0589911	9.91	12.72
ucsc_ce	autosomes	CM000999.3	262792	8051020	18856	5656802	29606	11.27	821122	0.0637186	10.2	14.52
ucsc_ce	autosomes	CM001000.3	241074	7528715	19908	5972399	31334	13.0	819282	0.0646028	10.88	13.72
ucsc_ce	autosomes	CM001001.3	235555	7086629	17395	5218496	25727	10.92	687369	0.0591654	9.7	13.17
ucsc_ce	autosomes	CM001002.3	247607	7474205	19025	5707500	29825	12.05	801882	0.0647733	10.73	14.05
ucsc_ce	autosomes	CM001003.3	246608	7223326	18716	5614802	29225	11.85	781951	0.064859	10.83	13.93
ucsc_ce	autosomes	CM001004.3	280846	8760087	23570	7071000	42302	15.06	1180977	0.0806122	13.48	16.7
ucsc_ce	autosomes	CM001005.3	215682	6934405	14801	4440297	22166	10.28	617948	0.0574474	8.91	13.92
ucsc_ce	autosomes	CM001006.3	197306	6247246	16622	4986606	24821	12.58	692864	0.0657305	11.09	13.89
ucsc_ce	autosomes	CM001007.3	215973	7036930	13525	4057493	21724	10.06	639398	0.061157	9.09	15.76
ucsc_ce	autosomes	CM001008.3	177678	5206607	15166	4549795	23681	13.33	625362	0.0684875	12.01	13.74
ucsc_ce	autosomes	CM001009.3	176410	5238599	12972	3891600	19782	11.21	529025	0.0615061	10.1	13.59
ucsc_ce	autosomes	CM001010.3	166559	5075883	14076	4222800	21037	12.63	553728	0.0633197	10.91	13.11
ucsc_ce	autosomes	CM001011.3	166884	5367136	11862	3558599	18244	10.93	531728	0.0633461	9.91	14.94
ucsc_ce	autosomes	CM001012.3	133689	4001311	10164	3049199	17587	13.16	475157	0.0722633	11.88	15.58
ucsc_ce	xy	CM001013.3	262871	8965894	6288	1897958	13387	5.09	419652	0.0401804	4.68	22.11
ucsc_ce	xy	CM001014.3	7422	1134792	0	0	0	0.0	0	0.0	0.0	
