our_run	our_track	group	chrom	n_ours	bp_ours	n_ucsc	bp_ucsc	bp_intersect	jaccard	pct_ours_in_ucsc	pct_ucsc_in_ours
ns	cnee	autosomes	CM001000.3	30788	4688698	241074	7528715	2417349	0.246667	51.56	32.11
ns	cnee_vs_nocds_ucsc	autosomes	CM001000.3	30788	4688698	187660	5571952	2417349	0.308206	51.56	43.38
ns	cnee	autosomes	CM001001.3	31921	4801932	235555	7086629	2561838	0.274677	53.35	36.15
ns	cnee_vs_nocds_ucsc	autosomes	CM001001.3	31921	4801932	202549	5859456	2561838	0.316294	53.35	43.72
ns	cnee	autosomes	CM001002.3	30344	4464827	247607	7474205	2421173	0.254382	54.23	32.39
ns	cnee_vs_nocds_ucsc	autosomes	CM001002.3	30344	4464827	213823	5915683	2421173	0.304193	54.23	40.93
ns	cnee	autosomes	CM001003.3	34081	4320698	246608	7223326	2221394	0.23828	51.41	30.75
ns	cnee_vs_nocds_ucsc	autosomes	CM001003.3	34081	4320698	219916	5903200	2221394	0.277587	51.41	37.63
ns	cnee	autosomes	CM001004.3	33545	5179742	280846	8760087	3015213	0.276002	58.21	34.42
ns	cnee_vs_nocds_ucsc	autosomes	CM001004.3	33545	5179742	236015	6707429	3015213	0.339859	58.21	44.95
ns	cnee	autosomes	CM001005.3	25966	4080611	215682	6934405	2409545	0.280002	59.05	34.75
ns	cnee_vs_nocds_ucsc	autosomes	CM001005.3	25966	4080611	197834	5985096	2409545	0.31472	59.05	40.26
ns	cnee	autosomes	CM001006.3	25817	3945525	197306	6247246	2195600	0.274547	55.65	35.15
ns	cnee_vs_nocds_ucsc	autosomes	CM001006.3	25817	3945525	179106	5382529	2195600	0.307832	55.65	40.79
ns	cnee	autosomes	CM001007.3	23802	3753990	215973	7036930	2357280	0.279509	62.79	33.5
ns	cnee_vs_nocds_ucsc	autosomes	CM001007.3	23802	3753990	198414	6057607	2357280	0.31623	62.79	38.91
ns	cnee	autosomes	CM001008.3	22443	3158666	177678	5206607	1614195	0.239102	51.1	31.0
ns	cnee_vs_nocds_ucsc	autosomes	CM001008.3	22443	3158666	153873	4137441	1614195	0.284094	51.1	39.01
ns	cnee	autosomes	CM001009.3	20216	3020724	176410	5238599	1726523	0.264285	57.16	32.96
ns	cnee_vs_nocds_ucsc	autosomes	CM001009.3	20216	3020724	159788	4440770	1726523	0.301052	57.16	38.88
ns	cnee	autosomes	CM001010.3	20386	2818267	166559	5075883	1505173	0.235589	53.41	29.65
ns	cnee_vs_nocds_ucsc	autosomes	CM001010.3	20386	2818267	136978	3918777	1505173	0.287693	53.41	38.41
ns	cnee	autosomes	CM001011.3	22472	3411105	166884	5367136	1956883	0.286876	57.37	36.46
ns	cnee_vs_nocds_ucsc	autosomes	CM001011.3	22472	3411105	150601	4610564	1956883	0.322663	57.37	42.44
ns	cnee	autosomes	CM001012.3	13463	2039148	133689	4001311	1219189	0.252877	59.79	30.47
ns	cnee_vs_nocds_ucsc	autosomes	CM001012.3	13463	2039148	115504	3115511	1219189	0.309795	59.79	39.13
ns	cnee	xy	CM001013.3	18450	3119756	262871	8965894	2085947	0.208601	66.86	23.27
ns	cnee_vs_nocds_ucsc	xy	CM001013.3	18450	3119756	251460	8002264	2085947	0.230847	66.86	26.07
ns	cnee	xy	CM001014.3	1573	238969	7422	1134792	52731	0.0399166	22.07	4.65
ns	cnee_vs_nocds_ucsc	xy	CM001014.3	1573	238969	7324	969819	52731	0.0456128	22.07	5.44
num_seqs_no_overlap	ce	autosomes	CM000994.3	112449	9580337	341948	10392881	5427864	0.373168	56.66	52.23
num_seqs_no_overlap	ce	autosomes	CM000995.3	112998	11589226	393489	12137389	6867728	0.407365	59.26	56.58
num_seqs_no_overlap	ce	autosomes	CM000996.3	67087	7238831	286245	9132536	4512488	0.380516	62.34	49.41
num_seqs_no_overlap	ce	autosomes	CM000997.3	69995	8234295	303274	9777514	5235696	0.409804	63.58	53.55
num_seqs_no_overlap	ce	autosomes	CM000998.3	113282	8603980	266895	7900209	4400105	0.363522	51.14	55.7
num_seqs_no_overlap	ce	autosomes	CM000999.3	69940	7122720	262792	8051020	4138509	0.375027	58.1	51.4
num_seqs_no_overlap	ce	autosomes	CM001000.3	94513	8378211	241074	7528715	4467042	0.39048	53.32	59.33
num_seqs_no_overlap	ce	autosomes	CM001001.3	84370	7578949	235555	7086629	4041354	0.380391	53.32	57.03
num_seqs_no_overlap	ce	autosomes	CM001002.3	73617	7357282	247607	7474205	4217849	0.397399	57.33	56.43
num_seqs_no_overlap	ce	autosomes	CM001003.3	196817	8574801	246608	7223326	3927329	0.33084	45.8	54.37
num_seqs_no_overlap	ce	autosomes	CM001004.3	72203	8504011	280846	8760087	5280035	0.440588	62.09	60.27
num_seqs_no_overlap	ce	autosomes	CM001005.3	58434	6033688	215682	6934405	3571449	0.380077	59.19	51.5
num_seqs_no_overlap	ce	autosomes	CM001006.3	67386	5931991	197306	6247246	3246675	0.363465	54.73	51.97
num_seqs_no_overlap	ce	autosomes	CM001007.3	50398	5626948	215973	7036930	3550181	0.389543	63.09	50.45
num_seqs_no_overlap	ce	autosomes	CM001008.3	64424	5390471	177678	5206607	2868172	0.371097	53.21	55.09
num_seqs_no_overlap	ce	autosomes	CM001009.3	45494	4602670	176410	5238599	2689724	0.376104	58.44	51.34
num_seqs_no_overlap	ce	autosomes	CM001010.3	71222	5225770	166559	5075883	2796913	0.372686	53.52	55.1
num_seqs_no_overlap	ce	autosomes	CM001011.3	60259	5195144	166884	5367136	2917718	0.381672	56.16	54.36
num_seqs_no_overlap	ce	autosomes	CM001012.3	29699	3407171	133689	4001311	2160484	0.411678	63.41	53.99
num_seqs_no_overlap	ce	xy	CM001013.3	27190	4481648	262871	8965894	3075508	0.296519	68.62	34.3
num_seqs_no_overlap	ce	xy	CM001014.3	13090	534753	7422	1134792	80403	0.0505952	15.04	7.09
num_seqs_no_overlap	cnee	autosomes	CM000994.3	41790	6023778	341948	10392881	3373579	0.258649	56.0	32.46
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000994.3	41790	6023778	307077	8698587	3373579	0.297263	56.0	38.78
num_seqs_no_overlap	cnee	autosomes	CM000995.3	46310	7318412	393489	12137389	4208719	0.276034	57.51	34.68
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000995.3	46310	7318412	345582	9884856	4208719	0.323883	57.51	42.58
num_seqs_no_overlap	cnee	autosomes	CM000996.3	30420	4930195	286245	9132536	2994702	0.270572	60.74	32.79
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000996.3	30420	4930195	264743	7869554	2994702	0.305425	60.74	38.05
num_seqs_no_overlap	cnee	autosomes	CM000997.3	32753	5461595	303274	9777514	3326702	0.279264	60.91	34.02
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000997.3	32753	5461595	272452	8156872	3326702	0.323239	60.91	40.78
num_seqs_no_overlap	cnee	autosomes	CM000998.3	34735	4920430	266895	7900209	2465655	0.238113	50.11	31.21
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000998.3	34735	4920430	228186	6270070	2465655	0.282602	50.11	39.32
num_seqs_no_overlap	cnee	autosomes	CM000999.3	30637	4754391	262792	8051020	2676273	0.264215	56.29	33.24
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM000999.3	30637	4754391	236265	6775886	2676273	0.302267	56.29	39.5
num_seqs_no_overlap	cnee	autosomes	CM001000.3	30528	4675568	241074	7528715	2364459	0.240295	50.57	31.41
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001000.3	30528	4675568	187660	5571952	2364459	0.299942	50.57	42.44
num_seqs_no_overlap	cnee	autosomes	CM001001.3	31901	4856893	235555	7086629	2570979	0.27431	52.93	36.28
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001001.3	31901	4856893	202549	5859456	2570979	0.315637	52.93	43.88
num_seqs_no_overlap	cnee	autosomes	CM001002.3	30211	4526281	247607	7474205	2423048	0.252995	53.53	32.42
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001002.3	30211	4526281	213823	5915683	2423048	0.302167	53.53	40.96
num_seqs_no_overlap	cnee	autosomes	CM001003.3	32609	3911906	246608	7223326	2074981	0.22902	53.04	28.73
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001003.3	32609	3911906	219916	5903200	2074981	0.268081	53.04	35.15
num_seqs_no_overlap	cnee	autosomes	CM001004.3	32173	5117063	280846	8760087	2926310	0.267222	57.19	33.41
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001004.3	32173	5117063	236015	6707429	2926310	0.328866	57.19	43.63
num_seqs_no_overlap	cnee	autosomes	CM001005.3	25899	4176039	215682	6934405	2429947	0.279932	58.19	35.04
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001005.3	25899	4176039	197834	5985096	2429947	0.314304	58.19	40.6
num_seqs_no_overlap	cnee	autosomes	CM001006.3	25612	3938312	197306	6247246	2196094	0.274874	55.76	35.15
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001006.3	25612	3938312	179106	5382529	2196094	0.308235	55.76	40.8
num_seqs_no_overlap	cnee	autosomes	CM001007.3	23489	3850951	215973	7036930	2383904	0.280328	61.9	33.88
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001007.3	23489	3850951	198414	6057607	2383904	0.316812	61.9	39.35
num_seqs_no_overlap	cnee	autosomes	CM001008.3	22320	3123978	177678	5206607	1574694	0.233085	50.41	30.24
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001008.3	22320	3123978	153873	4137441	1574694	0.276907	50.41	38.06
num_seqs_no_overlap	cnee	autosomes	CM001009.3	19813	3076477	176410	5238599	1744725	0.265545	56.71	33.31
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001009.3	19813	3076477	159788	4440770	1744725	0.302247	56.71	39.29
num_seqs_no_overlap	cnee	autosomes	CM001010.3	20089	2733974	166559	5075883	1455324	0.229021	53.23	28.67
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001010.3	20089	2733974	136978	3918777	1455324	0.280009	53.23	37.14
num_seqs_no_overlap	cnee	autosomes	CM001011.3	22343	3409054	166884	5367136	1936154	0.283062	56.79	36.07
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001011.3	22343	3409054	150601	4610564	1936154	0.318265	56.79	41.99
num_seqs_no_overlap	cnee	autosomes	CM001012.3	12819	2018057	133689	4001311	1187948	0.24588	58.87	29.69
num_seqs_no_overlap	cnee_vs_nocds_ucsc	autosomes	CM001012.3	12819	2018057	115504	3115511	1187948	0.30108	58.87	38.13
num_seqs_no_overlap	cnee	xy	CM001013.3	16871	3263656	262871	8965894	2096197	0.206861	64.23	23.38
num_seqs_no_overlap	cnee_vs_nocds_ucsc	xy	CM001013.3	16871	3263656	251460	8002264	2096197	0.2286	64.23	26.2
num_seqs_no_overlap	cnee	xy	CM001014.3	1502	393557	7422	1134792	52750	0.0357482	13.4	4.65
num_seqs_no_overlap	cnee_vs_nocds_ucsc	xy	CM001014.3	1502	393557	7324	969819	52750	0.0402479	13.4	5.44
